"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
5250,9000,0.15,"in","Fall"
5000,9000,0.18,"in","Fall"
4750,9000,0.2,"in","Fall"
4500,9000,0.24,"in","Fall"
4250,9000,0.28,"in","Fall"
4000,9000,0.3,"in","Fall"
3750,9000,0.33,"in","Fall"
3500,9000,0.36,"in","Fall"
3250,9000,0.4,"in","Fall"
29000,10000,NA,"in","Fall"
27000,10000,NA,"in","Fall"
25000,10000,NA,"in","Fall"
23000,10000,NA,"in","Fall"
21000,10000,NA,"in","Fall"
19000,10000,NA,"in","Fall"
17000,10000,NA,"in","Fall"
15000,10000,NA,"in","Fall"
14000,10000,NA,"in","Fall"
13000,10000,NA,"in","Fall"
12000,10000,NA,"in","Fall"
11000,10000,NA,"in","Fall"
10000,10000,NA,"in","Fall"
9000,10000,0.02,"in","Fall"
8000,10000,0.05,"in","Fall"
7500,10000,0.07,"in","Fall"
7000,10000,0.09,"in","Fall"
6500,10000,0.12,"in","Fall"
6000,10000,0.14,"in","Fall"
5500,10000,0.18,"in","Fall"
5250,10000,0.2,"in","Fall"
5000,10000,0.23,"in","Fall"
4750,10000,0.26,"in","Fall"
4500,10000,0.3,"in","Fall"
4250,10000,0.33,"in","Fall"
4000,10000,0.35,"in","Fall"
3750,10000,0.38,"in","Fall"
3500,10000,0.41,"in","Fall"
3250,10000,0.44,"in","Fall"
29000,11000,NA,"in","Fall"
27000,11000,NA,"in","Fall"
25000,11000,NA,"in","Fall"
23000,11000,NA,"in","Fall"
21000,11000,NA,"in","Fall"
19000,11000,NA,"in","Fall"
17000,11000,NA,"in","Fall"
15000,11000,NA,"in","Fall"
14000,11000,NA,"in","Fall"
13000,11000,NA,"in","Fall"
12000,11000,NA,"in","Fall"
11000,11000,NA,"in","Fall"
10000,11000,0.01,"in","Fall"
9000,11000,0.04,"in","Fall"
8000,11000,0.08,"in","Fall"
7500,11000,0.1,"in","Fall"
7000,11000,0.12,"in","Fall"
6500,11000,0.15,"in","Fall"
6000,11000,0.18,"in","Fall"
5500,11000,0.22,"in","Fall"
5250,11000,0.24,"in","Fall"
5000,11000,0.27,"in","Fall"
4750,11000,0.3,"in","Fall"
4500,11000,0.34,"in","Fall"
4250,11000,0.37,"in","Fall"
4000,11000,0.39,"in","Fall"
3750,11000,0.41,"in","Fall"
3500,11000,0.44,"in","Fall"
3250,11000,0.46,"in","Fall"
29000,12000,NA,"in","Fall"
27000,12000,NA,"in","Fall"
25000,12000,NA,"in","Fall"
23000,12000,NA,"in","Fall"
21000,12000,NA,"in","Fall"
19000,12000,NA,"in","Fall"
17000,12000,NA,"in","Fall"
15000,12000,NA,"in","Fall"
14000,12000,NA,"in","Fall"
13000,12000,NA,"in","Fall"
12000,12000,NA,"in","Fall"
11000,12000,0.02,"in","Fall"
10000,12000,0.03,"in","Fall"
9000,12000,0.07,"in","Fall"
8000,12000,0.12,"in","Fall"
7500,12000,0.14,"in","Fall"
7000,12000,0.16,"in","Fall"
6500,12000,0.18,"in","Fall"
6000,12000,0.22,"in","Fall"
5500,12000,0.25,"in","Fall"
5250,12000,0.27,"in","Fall"
5000,12000,0.3,"in","Fall"
4750,12000,0.33,"in","Fall"
4500,12000,0.36,"in","Fall"
4250,12000,0.39,"in","Fall"
4000,12000,0.41,"in","Fall"
3750,12000,0.43,"in","Fall"
3500,12000,0.46,"in","Fall"
3250,12000,0.48,"in","Fall"
29000,13000,NA,"in","Fall"
27000,13000,NA,"in","Fall"
25000,13000,NA,"in","Fall"
23000,13000,NA,"in","Fall"
21000,13000,NA,"in","Fall"
19000,13000,NA,"in","Fall"
17000,13000,NA,"in","Fall"
15000,13000,NA,"in","Fall"
14000,13000,NA,"in","Fall"
13000,13000,NA,"in","Fall"
12000,13000,0.01,"in","Fall"
11000,13000,0.03,"in","Fall"
10000,13000,0.05,"in","Fall"
9000,13000,0.09,"in","Fall"
8000,13000,0.14,"in","Fall"
7500,13000,0.15,"in","Fall"
7000,13000,0.17,"in","Fall"
6500,13000,0.2,"in","Fall"
6000,13000,0.23,"in","Fall"
5500,13000,0.26,"in","Fall"
5250,13000,0.28,"in","Fall"
5000,13000,0.31,"in","Fall"
4750,13000,0.34,"in","Fall"
4500,13000,0.38,"in","Fall"
4250,13000,0.4,"in","Fall"
4000,13000,0.42,"in","Fall"
3750,13000,0.44,"in","Fall"
3500,13000,0.46,"in","Fall"
3250,13000,0.48,"in","Fall"
29000,14000,NA,"in","Fall"
27000,14000,NA,"in","Fall"
25000,14000,NA,"in","Fall"
23000,14000,NA,"in","Fall"
21000,14000,NA,"in","Fall"
19000,14000,NA,"in","Fall"
17000,14000,NA,"in","Fall"
15000,14000,NA,"in","Fall"
14000,14000,NA,"in","Fall"
13000,14000,0.01,"in","Fall"
12000,14000,0.03,"in","Fall"
11000,14000,0.05,"in","Fall"
10000,14000,0.07,"in","Fall"
9000,14000,0.11,"in","Fall"
8000,14000,0.16,"in","Fall"
7500,14000,0.17,"in","Fall"
7000,14000,0.19,"in","Fall"
6500,14000,0.21,"in","Fall"
6000,14000,0.24,"in","Fall"
5500,14000,0.28,"in","Fall"
5250,14000,0.3,"in","Fall"
5000,14000,0.33,"in","Fall"
4750,14000,0.36,"in","Fall"
4500,14000,0.39,"in","Fall"
4250,14000,0.42,"in","Fall"
4000,14000,0.44,"in","Fall"
3750,14000,0.46,"in","Fall"
3500,14000,0.47,"in","Fall"
